instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.5910219811732638,0.1488044139823383,5.805134968916488,654,985
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.5283238332238679,0.22197406773479275,4.882801922586371,670,801
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.3627475681763128,0.22178983545421296,4.795790545596741,1229,1349
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.4640075637202747,0.14867514498112328,4.6913478822291435,1454,1562
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.3625276831975371,0.17134486608032246,4.418840607796598,1518,1600
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.41756560095290096,0.08577871757708048,4.48863636973214,1518,1606
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.4045953966854691,0.15591426665056035,5.003946305945459,1362,1510
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.4290729048562691,0.23649719323972443,4.23410650459726,891,959
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.36058419285843063,0.30891749633393556,4.007333185232471,768,822
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.3940110939563726,0.20152514849498318,3.7376696182833684,1280,1321
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.5225747318884735,0.11523044723945561,3.784189633918261,1220,1263
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.4697192138034979,0.2659171761644729,3.258096538021482,1137,1162
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.3855460340323215,0.26313319953036823,3.6635616461296463,1368,1406
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.4303697307431433,0.11915808983591668,4.007333185232471,1367,1421
15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.40463142735958696,0.14666242699957902,5.407171771460119,1026,1248
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.39457266694174076,0.1726356326489185,5.529429087511423,953,1204
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.43015772069853586,0.17732325272499944,4.770684624465665,883,1000
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.6214723229040678,0.1369536549987368,2.302585092994046,674,683
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.5548840394208513,0.18922848230579037,4.3694478524670215,1572,1650
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.43069936260195857,0.17890238474829867,4.430816798843313,1844,1927
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.37643649195979767,0.3025031949834062,4.330733340286331,1468,1543
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.33647223662121295,0.15868609355758062,4.543294782270004,888,981
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.3622249143216741,0.22041984539261317,5.017279836814924,836,986
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.3999425535031401,0.14697931264666345,4.465908118654584,1330,1416
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.4805459877862203,0.12203708545312016,5.231108616854587,1799,1985
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.6219196712715775,0.25762226973045216,3.5553480614894135,472,506
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.5232481437645479,0.10781081123021952,2.772588722239781,416,431
