instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.5933268452777344,0.0,1.3862943611198906,2.6390573296152584,2.833213344056216
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.5877866649021191,0.0,2.1972245773362196,3.4965075614664802,3.713572066704308
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.5877866649021191,0.0,1.791759469228055,3.332204510175204,3.4965075614664802
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.5596157879354227,0.0,1.3862943611198906,2.3978952727983707,2.6390573296152584
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.5596157879354227,0.0,0.0,0.6931471805599453,0.6931471805599453
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.5596157879354227,0.08581065641311086,0.0,0.6931471805599453,0.6931471805599453
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.5877866649021191,0.0,1.0986122886681098,0.0,1.0986122886681098
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.6205764877251099,0.0,0.6931471805599453,1.0986122886681098,1.3862943611198906
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.5596157879354227,0.0,0.6931471805599453,2.0794415416798357,2.1972245773362196
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.5653138090500605,0.0,2.1972245773362196,1.9459101490553132,2.70805020110221
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.5653138090500605,0.22609917913984232,2.5649493574615367,3.2188758248682006,3.6109179126442243
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.5933268452777344,0.24966863025356476,3.295836866004329,3.4339872044851463,4.04305126783455
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.5709795465857378,0.24966863025356476,3.4011973816621555,4.02535169073515,4.442651256490317
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.5423242908253617,0.26120975212066605,3.871201010907891,3.871201010907891,4.553876891600541
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.5423242908253617,0.24966863025356476,3.58351893845611,4.276666119016055,4.672828834461906
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.5709795465857378,0.26120975212066605,3.713572066704308,4.2626798770413155,4.709530201312334
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.598836501088704,0.26120975212066605,3.7376696182833684,3.970291913552122,4.543294782270004
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.598836501088704,0.24966863025356476,2.772588722239781,3.970291913552122,4.219507705176107
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.6312717768418579,0.22609917913984232,2.302585092994046,3.295836866004329,3.58351893845611
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.6312717768418579,0.22609917913984232,1.9459101490553132,3.4657359027997265,3.6375861597263857
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.6259384308664953,0.22609917913984232,2.4849066497880004,3.258096538021482,3.6109179126442243
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.6259384308664953,0.17730901497041035,1.3862943611198906,3.4657359027997265,3.5553480614894135
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.6626879730752367,0.20204248140615572,2.4849066497880004,2.8903717578961645,3.367295829986474
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.6312717768418579,0.26120975212066605,2.772588722239781,3.2188758248682006,3.6888794541139363
